timestamp, light1, light2, light3, UUID 
1498223438257,472,4206,472,,80ec3f676e17debf
1498223438436,437,4207,437,,80ec3f676e17debf
1498223438436,437,4207,437,,80ec3f676e17debf
1498223438617,450,4237,450,,80ec3f676e17debf
1498223438798,482,4234,482,,80ec3f676e17debf
1498223438798,482,4234,482,,80ec3f676e17debf
1498223438981,489,4247,489,,80ec3f676e17debf
1498223438981,489,4247,489,,80ec3f676e17debf
1498223439156,496,4260,496,,80ec3f676e17debf
1498223439156,496,4260,496,,80ec3f676e17debf
1498223439345,494,4289,494,,80ec3f676e17debf
1498223439345,494,4289,494,,80ec3f676e17debf
1498223439517,496,4260,496,,80ec3f676e17debf
1498223439517,496,4260,496,,80ec3f676e17debf
1498223439706,494,4289,494,,80ec3f676e17debf
1498223439877,501,4302,501,,80ec3f676e17debf
1498223439877,501,4302,501,,80ec3f676e17debf
1498223440059,510,4286,510,,80ec3f676e17debf
1498223440059,510,4286,510,,80ec3f676e17debf
1498223440236,508,4314,508,,80ec3f676e17debf
1498223440236,508,4314,508,,80ec3f676e17debf
1498223440418,494,4289,494,,80ec3f676e17debf
1498223440596,501,4302,501,,80ec3f676e17debf
1498223440596,501,4302,501,,80ec3f676e17debf
1498223440776,501,4302,501,,80ec3f676e17debf
1498223440776,501,4302,501,,80ec3f676e17debf
1498223440956,496,4331,496,,80ec3f676e17debf
1498223440956,496,4331,496,,80ec3f676e17debf
1498223441137,503,4273,503,,80ec3f676e17debf
1498223441137,503,4273,503,,80ec3f676e17debf
1498223441318,502,4343,502,,80ec3f676e17debf
1498223441497,501,4302,501,,80ec3f676e17debf
1498223441497,501,4302,501,,80ec3f676e17debf
1498223441676,501,4302,501,,80ec3f676e17debf
1498223441676,501,4302,501,,80ec3f676e17debf
1498223441856,501,4302,501,,80ec3f676e17debf
1498223441856,501,4302,501,,80ec3f676e17debf
1498223442039,489,4318,489,,80ec3f676e17debf
1498223442039,489,4318,489,,80ec3f676e17debf
1498223442218,487,4349,487,,80ec3f676e17debf
1498223442404,496,4331,496,,80ec3f676e17debf
1498223442404,496,4331,496,,80ec3f676e17debf
1498223442577,496,4331,496,,80ec3f676e17debf
1498223442577,496,4331,496,,80ec3f676e17debf
1498223442756,496,4331,496,,80ec3f676e17debf
1498223442756,496,4331,496,,80ec3f676e17debf
1498223442938,502,4343,502,,80ec3f676e17debf
1498223442938,502,4343,502,,80ec3f676e17debf
