timestamp, light1, light2, light3, UUID 
1497864790187,30,3884,30,,80ec3f676e17debf
1497864790369,25,3761,25,,80ec3f676e17debf
1497864790369,25,3761,25,,80ec3f676e17debf
1497864790545,20,3807,20,,80ec3f676e17debf
1497864790545,20,3807,20,,80ec3f676e17debf
1497864790726,19,3945,19,,80ec3f676e17debf
1497864790726,19,3945,19,,80ec3f676e17debf
1497864790907,18,3699,18,,80ec3f676e17debf
1497864791086,20,3807,20,,80ec3f676e17debf
1497864791086,20,3807,20,,80ec3f676e17debf
1497864791265,21,3685,21,,80ec3f676e17debf
1497864791265,21,3685,21,,80ec3f676e17debf
1497864791446,25,3761,25,,80ec3f676e17debf
1497864791446,25,3761,25,,80ec3f676e17debf
1497864791624,31,3797,31,,80ec3f676e17debf
1497864791624,31,3797,31,,80ec3f676e17debf
1497864791818,44,3902,44,,80ec3f676e17debf
1497864791818,44,3902,44,,80ec3f676e17debf
1497864791984,63,3840,63,,80ec3f676e17debf
1497864792165,85,3856,85,,80ec3f676e17debf
1497864792165,85,3856,85,,80ec3f676e17debf
1497864792345,115,3887,115,,80ec3f676e17debf
1497864792345,115,3887,115,,80ec3f676e17debf
1497864792526,155,3788,155,,80ec3f676e17debf
1497864792526,155,3788,155,,80ec3f676e17debf
1497864792705,177,3802,177,,80ec3f676e17debf
1497864792884,224,3795,224,,80ec3f676e17debf
1497864792884,224,3795,224,,80ec3f676e17debf
1497864793064,268,3768,268,,80ec3f676e17debf
1497864793064,268,3768,268,,80ec3f676e17debf
1497864793244,291,3753,291,,80ec3f676e17debf
1497864793244,291,3753,291,,80ec3f676e17debf
1497864793425,325,3771,325,,80ec3f676e17debf
1497864793425,325,3771,325,,80ec3f676e17debf
1497864793604,361,3757,361,,80ec3f676e17debf
1497864793785,370,3681,370,,80ec3f676e17debf
1497864793785,370,3681,370,,80ec3f676e17debf
1497864793965,366,3706,366,,80ec3f676e17debf
1497864793965,366,3706,366,,80ec3f676e17debf
1497864794145,376,3678,376,,80ec3f676e17debf
1497864794145,376,3678,376,,80ec3f676e17debf
1497864794327,379,3678,379,,80ec3f676e17debf
1497864794327,379,3678,379,,80ec3f676e17debf
1497864794505,388,3700,388,,80ec3f676e17debf
1497864794685,399,3727,399,,80ec3f676e17debf
1497864794685,399,3727,399,,80ec3f676e17debf
1497864794864,416,3749,416,,80ec3f676e17debf
1497864794864,416,3749,416,,80ec3f676e17debf
1497864795044,396,3734,396,,80ec3f676e17debf
1497864795044,396,3734,396,,80ec3f676e17debf
1497864795224,410,3746,410,,80ec3f676e17debf
1497864795224,410,3746,410,,80ec3f676e17debf
1497864795410,409,3735,409,,80ec3f676e17debf
1497864795585,419,3731,419,,80ec3f676e17debf
1497864795585,419,3731,419,,80ec3f676e17debf
1497864795765,417,3714,417,,80ec3f676e17debf
1497864795765,417,3714,417,,80ec3f676e17debf
1497864795947,396,3691,396,,80ec3f676e17debf
1497864795947,396,3691,396,,80ec3f676e17debf
1497864796125,352,3679,352,,80ec3f676e17debf
1497864796125,352,3679,352,,80ec3f676e17debf
1497864796306,298,3636,298,,80ec3f676e17debf
1497864796484,289,3630,289,,80ec3f676e17debf
1497864796484,289,3630,289,,80ec3f676e17debf
1497864796664,225,3666,225,,80ec3f676e17debf
1497864796664,225,3666,225,,80ec3f676e17debf
1497864796845,169,3712,169,,80ec3f676e17debf
1497864796845,169,3712,169,,80ec3f676e17debf
1497864797024,141,3741,141,,80ec3f676e17debf
1497864797024,141,3741,141,,80ec3f676e17debf
1497864797205,113,3740,113,,80ec3f676e17debf
1497864797385,85,3769,85,,80ec3f676e17debf
1497864797385,85,3769,85,,80ec3f676e17debf
1497864797567,67,3713,67,,80ec3f676e17debf
1497864797567,67,3713,67,,80ec3f676e17debf
1497864797746,51,3711,51,,80ec3f676e17debf
1497864797746,51,3711,51,,80ec3f676e17debf
1497864797939,33,3644,33,,80ec3f676e17debf
1497864797939,33,3644,33,,80ec3f676e17debf
1497864798113,22,3479,22,,80ec3f676e17debf
1497864798285,17,3576,17,,80ec3f676e17debf
1497864798467,14,3576,14,,80ec3f676e17debf
1497864798467,14,3576,14,,80ec3f676e17debf
1497864798646,14,3576,14,,80ec3f676e17debf
1497864798646,14,3576,14,,80ec3f676e17debf
1497864798827,14,3576,14,,80ec3f676e17debf
1497864798827,14,3576,14,,80ec3f676e17debf
