UUID,iqrAccX,iqrAccY,iqrAccZ,iqrAccXYZ,meanAccX,meanAccY,meanAccZ,meanAccXYZ, covarianceAccXY, covarianceAccXZ, covarianceAccYZ,pressureDerivative, pressureIQR, iqrGyroX, iqrGyroY, iqrGyroZ, iqrGyroMagnitude, meanGyroX, meanGyroY, meanGyroZ, meanGyroMagnitude, covarianceGyroXY, covarianceGyroXZ, covarianceGyroYZ, class, timestamp 
80ec3f676e17debf,-1.1975979537782784,-0.9790316699900693,-0.95231835549748,-0.9955593808655127,-1.545910605837396,-1.9356454486279298,1.9837855136470055,-0.6438751400832541,-0.29284633641175145,-0.6772444628675807,0.09084314969439025,0.3297930083196208,1.1888020833333335,-1.0827971367696752,-1.1935740756482003,0.22598197882110316,-0.8330267080346956,-1.1301859771622098,-1.1953622524431113,-0.09656492043819685,-0.9904100204587574,-0.4691174524835687,-0.5749429435406658,-0.37994872798598966,undefined,1498223317394
80ec3f676e17debf,-1.1768077197996323,-1.0447774082356494,-0.9905990041891267,-1.03823840291516,-1.5737128446382997,-1.9586140760220179,1.9816343333662212,-0.6863921808322921,-0.2928466593298346,-0.6700180647426598,0.0900844013893825,0.3417919636428987,0.4141669451871658,-1.084920778878353,-1.2334131104967339,0.32562994708240656,-0.768525773362963,-1.1310866047903894,-1.211491502426008,-0.16927183605198778,-1.0119078148034244,-0.46744685549684817,-0.5685050985105046,-0.35971677754621884,undefined,1498223318936
80ec3f676e17debf,-1.162947552312065,-1.0072084191278883,-1.0020829446596713,-1.0542433528498047,-1.6013402264875232,-1.9323006597248247,1.9811557101833595,-0.6713223700970439,-0.3017001555255322,-0.6692318328445719,0.09034066871071056,0.5055248954261549,0.31407364081996436,-1.1358881538719918,-1.2394493360411036,-0.2120056093440071,-0.9344297570115793,-1.1526580902440637,-1.2231591290920019,-0.3988716908725586,-1.0767718813469522,-0.46481990325478884,-0.5598560703801206,-0.3598966934289577,undefined,1498223320435
80ec3f676e17debf,-1.345901497456298,-1.1293076556491062,-1.0078254231688424,-1.0668987705893418,-1.7775547876464353,-1.9042379852004112,1.9789703304110478,-0.6780739508020264,-0.2889130249593314,-0.6742147851371179,0.09104867778012343,0.6564800129883891,1.7153799019607845,-1.1677427644571512,-1.2925680479454429,-0.9628415186811743,-1.2905799602781372,-1.186874678788607,-1.2557867555900772,-0.8647646063401727,-1.2076173678198012,-0.4700155703023749,-0.6218359105822209,-0.41571673031771744,undefined,1498223321892
80ec3f676e17debf,-1.3486735240527294,-1.0347981532675858,-1.0033592204196755,-1.0526227786161317,-1.849143238542048,-1.9179944720962847,1.980769111790094,-0.6800983503400573,-0.28040306508311946,-0.6797415351265883,0.09129728734324513,0.5505433264123044,2.5770526960784315,-1.1698664041375588,-1.2853245853906563,-0.5735191741226205,-1.1217220576615212,-1.1952635895617918,-1.2447530648238614,-0.7318011940719846,-1.1792757100932811,-0.46994560036158933,-0.6192554238994139,-0.39364606805806585,undefined,1498223323400
80ec3f676e17debf,-1.31263714379371,-0.9467458743213852,-0.9676306149741387,-1.0190567793287526,-1.9230254001093001,-1.967069213756761,1.9956932637303941,-0.6168314727083927,-0.2769761190686917,-0.681827976511694,0.08724047940315374,0.5327357233188035,1.2323209113190732,-1.1656191223484733,-1.2853245853906563,-0.6963411190565422,-1.175293269146187,-1.1973698961590975,-1.2536923605396928,-0.8764909563182786,-1.2184141461135798,-0.4737453520301109,-0.6576485257135779,-0.45835262178606595,undefined,1498223324884
80ec3f676e17debf,-1.255810555435102,-0.9526159950746068,-0.9453001095022034,-0.9876958137733008,-1.8703112015888366,-1.9696965958808177,2.011593079564599,-0.5067082001946085,-0.26347873772202696,-0.6745443594450575,0.0876217024215045,0.6009957711976814,1.3280623328877006,-1.1465063530834534,-1.268423175216899,-0.6384062692353415,-1.1401069215827244,-1.188734038786873,-1.2453308291846736,-0.8793872227289439,-1.214021776371137,-0.471975407148367,-0.6511483937923489,-0.45882787826684257,undefined,1498223326402
80ec3f676e17debf,-1.257196551480613,-0.8187764001349764,-0.9153134742919388,-0.9829854009547421,-1.8481455243589076,-1.9403225601401963,2.0072328643743518,-0.5042449752681762,-0.2585972113168684,-0.6761539930169993,0.08204971431722635,0.3883555666101995,2.3986255013368982,-1.1433208915392834,-1.2732521527075014,-0.6453584544643286,-1.13966382243955,-1.1894821407878349,-1.244897506013849,-0.8758198685237849,-1.2134096835162447,-0.47194564251145477,-0.6508929488268722,-0.45936836052316243,undefined,1498223327883
80ec3f676e17debf,-1.275214750236475,-0.7553787803378667,-0.8814990283494589,-0.9724645356409132,-1.8541729438317127,-1.866036134450472,1.99425740046694,-0.521748058193903,-0.27124815002958325,-0.6726623609574248,0.07086916964963444,0.18393131375081312,0.6970393270944742,-1.1327026939466687,-1.2744593970801519,-0.6337714802603802,-1.1371349914037885,-1.1799238666608685,-1.246743141463109,-0.892667669928373,-1.2120639813456406,-0.47237737043280825,-0.6552868560052311,-0.45923634036358074,undefined,1498223329399
80ec3f676e17debf,-1.1740357018295533,-1.0629749024054047,-0.9255221555502767,-0.9749122773979652,-1.8202815722279948,-1.7389318795009452,1.9710546188429081,-0.5334795946725317,-0.27296150319448537,-0.688076455136125,0.06754277818802544,-0.16375106445707227,0.6317610851158646,-1.1178372088990045,-1.282910104007589,-0.7867195058348327,-1.1863722034802044,-1.1662401362164974,-1.2535800175412828,-0.9510875085660078,-1.2217595237695325,-0.4717773165895995,-0.6615278677009169,-0.4831277780789141,undefined,1498223330904
